univ,sj,name
숭실대학교,수시,학생부교과전형
숭실대학교,수시,논술전형
숭실대학교,수시,학생부종합전형 (SSU미래인재)
숭실대학교,수시,학생부종합전형 (고른기회)
숭실대학교,수시,학생부종합전형 (특성화고)
숭실대학교,수시,학생부종합전형 (정원외)
숭실대학교,수시,실기전형 (SW특기자)
숭실대학교,수시,실기전형 (예체능)
