univ,sj,jh,name
인하대학교,수시,학생부종합(인하미래인재),"인문계, 예체능"
인하대학교,수시,학생부종합(인하미래인재),자연계
인하대학교,수시,"학생부종합(학교장추천, 서해5도)",전 학과
인하대학교,수시,"학생부종합(고른기회, 농어촌, 평생학습자, 특성화고)",전 학과
인하대학교,수시,학생부교과,전 학과
인하대학교,수시,논술우수자,인문계
인하대학교,수시,논술우수자,자연계
인하대학교,수시,실기우수자,조형예술학과(인물소묘)
인하대학교,수시,실기우수자,디자인융합학과
인하대학교,수시,실기우수자,연극영화학과(연기)
인하대학교,수시,실기우수자,연극영화학과(이론연출)
인하대학교,수시,실기우수자,의류디자인학과(실기)
인하대학교,수시,실기우수자,체육특기자
