university,sj,jh,name
계명대학교,수시,학생부교과(일반)전형,"의예과,의용공학과"
계명대학교,수시,학생부교과(지역)전형,"의예과,의용공학과"
계명대학교,수시,학생부교과(고른기회)전형,의용공학과
계명대학교,수시,학생부종합(일반)전형,"의예과,의용공학과"
계명대학교,수시,학생부종합(지역)전형,"의예과,의용공학과"
계명대학교,수시,농어촌전형,의용공학과
