university,sj,jh,name
진주교육대학교,수시,21세기형교직적성자전형,전 학과
진주교육대학교,수시,지역인재전형,전 학과
진주교육대학교,수시,국가보훈대상자전형,전 학과
진주교육대학교,수시,다문화(탈북)전형,전 학과
진주교육대학교,수시,농어촌전형,전 학과
진주교육대학교,수시,기회균형전형,전 학과
진주교육대학교,수시,특수교육대상자전형,전 학과
