univ,sj,jh,name
부산대학교,수시,학생부교과전형,전 학과
부산대학교,수시,학생부종합전형,전 학과
부산대학교,수시,논술전형,전 학과
부산대학교,수시,실기전형 (일반),체육교육과
부산대학교,수시,실기전형 (일반),"미술학과, 조형학과"
부산대학교,수시,실기전형 (일반),"음악학과, 한국음악학과, 무용학과"
부산대학교,수시,실기전형 (체육특기자),전 학과
부산대학교,수시,실기전형 (SW특기자),전 학과
