univ,sj,name
부산대학교,수시,학생부교과전형
부산대학교,수시,학생부종합전형
부산대학교,수시,논술전형
부산대학교,수시,실기전형 (일반)
부산대학교,수시,실기전형 (체육특기자)
부산대학교,수시,실기전형 (SW특기자)
