univ,sj,name
연세대학교,수시,학생부종합전형 (면접형)
연세대학교,수시,학생부종합전형 (활동우수형)
연세대학교,수시,학생부종합전형 (국제형)
연세대학교,수시,학생부종합전형 (국제형-해외고/검정고시)
연세대학교,수시,학생부종합전형 (기회균형)
연세대학교,수시,논술전형
연세대학교,수시,특기자전형 (국제인재)
연세대학교,수시,특기자전형 (체육인재)
연세대학교,수시,시스템반도체특별전형
연세대학교,수시,고른기회전형 (예체능계열)
연세대학교,수시,고른기회전형 (그 외)
