univ,sj,jh,name
연세대학교,수시,학생부종합전형 (면접형),전 학과
연세대학교,수시,학생부종합전형 (활동우수형),인문계
연세대학교,수시,학생부종합전형 (활동우수형),자연계
연세대학교,수시,학생부종합전형 (국제형),전 학과
연세대학교,수시,학생부종합전형 (국제형-해외고/검정고시),전 학과
연세대학교,수시,학생부종합전형 (기회균형),인문계
연세대학교,수시,학생부종합전형 (기회균형),자연계
연세대학교,수시,논술전형,인문사회계열
연세대학교,수시,논술전형,자연계열
연세대학교,수시,특기자전형 (국제인재),전 학과
연세대학교,수시,특기자전형 (체육인재),전 학과
연세대학교,수시,시스템반도체특별전형,전 학과
연세대학교,수시,고른기회전형 (예체능계열),전 학과
연세대학교,수시,고른기회전형 (그 외),전 학과
