name,logo,review_url,bigo,damdang,done
가톨릭대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/catholic.png,https://www.univ100.kr/review/52,의과대학,김다희,
순천향대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/suncheonhyang.png,https://www.univ100.kr/review/114,의과대학,김혜인,1
인제대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/inje.png,https://www.univ100.kr/review/161,의과대학,김다희,
한림대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/hanlim.png,https://www.univ100.kr/review/96,의과대학,김혜인,1
가천대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/gachon.png,https://www.univ100.kr/review/76,의과대학,김다희,
건양대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/geonyang.png,https://www.univ100.kr/review/102,의과대학,김혜인,1
연세대학교 원주캠퍼스,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/yonsei_wonju.png,https://www.univ100.kr/review/22,의과대학,최성우,1
가톨릭관동대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/catholic_gwandong.png,https://www.univ100.kr/review/88,의과대학,최성우,1
을지대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/ulji.png,https://www.univ100.kr/review/74,의과대학,최성우,1
계명대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/gyemyeong.png,https://www.univ100.kr/review/165,의과대학,최성우,1
대구가톨릭대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/daegu_catholic.png,https://www.univ100.kr/review/153,의과대학,김혜인,1
동국대학교 경주캠퍼스,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/dongguk_gyeongju.png,https://www.univ100.kr/review/59,의과대학,김다희,
영남대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/yeongnam.png,https://www.univ100.kr/review/169,의과대학,김혜인,1
동아대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/donga.png,https://www.univ100.kr/review/182,의과대학,김다희,
고신대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/gosin.png,https://www.univ100.kr/review/103,의과대학,최성우,1
강릉원주대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/gangneung_wonju.png,https://www.univ100.kr/review/399,치과대학,김다희,
동의대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/dongee.png,https://www.univ100.kr/review/183,한의과대학,김다희,
대구한의대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/daegu_hanui.png,https://www.univ100.kr/review/155,한의과대학,김혜인,1
대전대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/daejeon.png,https://www.univ100.kr/review/98,한의과대학,김다희,
동신대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/dongsin.png,https://www.univ100.kr/review/134,한의과대학,김혜인,1
우석대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/wooseok.png,https://www.univ100.kr/review/140,한의과대학,김혜인,1
상지대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/sangji.png,https://www.univ100.kr/review/93,한의과대학,김다희,
세명대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/semyeong.png,https://www.univ100.kr/review/113,한의과대학,김혜인,1
